token_seq,target_comment
function isNameAvailable ( bytes32 _name ) public view returns ( bool ) { return registeredNames_ [ _name ] == 0 ; },Check if name is available.
"function getGameData ( uint _game ) external view returns ( uint game , string json , uint tradeLockSeconds , uint256 balance , bytes32 [ ] metadata ) { GameData storage data = gameData [ _game ] ; game = _game ; json = data . json ; tradeLockSeconds = data . tradeLockSeconds ; balance = stakingContract . balanceOf ( address ( _game ) ) ; metadata = data . metadata ; }",Get all game data for one given game.
"function subHashrate ( address _addr , uint256 _value ) public onlyContractsMiniGame { require ( players [ _addr ] . roundNumber == roundNumber && players [ _addr ] . hashrate >= _value ) ; PlayerData storage p = players [ _addr ] ; p . hashrate = SafeMath . sub ( p . hashrate , _value ) ; }",Sub player's hashrate msg.sender should be in the list of mini game.
"function registerAlias ( string alias ) abcInterface public { require ( msg . value >= REGISTRATION_FEE ) ; //alias must be unique. bytes32 _name = nameFilter ( alias ) ; require ( _addressbook [ _name ] == address ( 0x0 ) ) ; //player hasn't inviter or no root can't register alias. require ( hasInviter ( ) || _isRoot [ msg . sender ] == true ) ; if ( _alias [ msg . sender ] != bytes32 ( 0x0 ) ) { //remove old alias mapping key. _addressbook [ _alias [ msg . sender ] ] = address ( 0x0 ) ; } _alias [ msg . sender ] = _name ; _addressbook [ _name ] = msg . sender ; wallet . transfer ( REGISTRATION_FEE ) ; //refund extra value. if ( msg . value > REGISTRATION_FEE ) { msg . sender . transfer ( msg . value . sub ( REGISTRATION_FEE ) ) ; } emit OnRegisterAlias ( msg . sender , _name ) ; }",Register a alias. you can register alias several times.
"function transferSuperuser ( address _newSuperuser ) public onlyOwner { require ( _newSuperuser != address ( 0 ) ) ; removeRole ( msg . sender , ROLE_SUPERUSER ) ; addRole ( _newSuperuser , ROLE_SUPERUSER ) ; }",Allows the current superuser to transfer his role to a newSuperuser.
function lockupsCount ( address _who ) public view returns ( uint256 ) { return lockups [ _who ] . length ; },Get the lockups list count.
"function keccak ( bytes memory self , uint offset , uint len ) internal pure returns ( bytes32 ret ) { require ( offset + len <= self . length ) ; assembly { ret := sha3 ( add ( add ( self , 32 ) , offset ) , len ) } }",Returns the keccak-256 hash of a byte range.
"function initiateMigration ( Proxy identity , address newIdManager ) public onlyOlderOwner ( identity ) validAddress ( newIdManager ) { migrationInitiated [ identity ] = now ; migrationNewAddress [ identity ] = newIdManager ; LogMigrationInitiated ( identity , newIdManager , msg . sender ) ; }",Allows an owner to begin process of transfering proxy to new IdentityManager.
"function rewardReferrer ( address addr , address referrer_addr , uint funds , uint full_funds ) internal returns ( uint funds_after_reward ) { UserRecord storage referrer = user_data [ referrer_addr ] ; if ( referrer . tokens >= minimal_stake ) { ( uint reward_funds , uint taxed_funds ) = fee_referral . split ( funds ) ; referrer . ref_funds = referrer . ref_funds . add ( reward_funds ) ; emit ReferralReward ( addr , referrer_addr , full_funds , reward_funds , now ) ; return taxed_funds ; } else { return funds ; } }",Rewards the referrer from given amount of funds.
function addToWhitelist ( address _newAddr ) public onlyOwner { allowedAddresses [ _newAddr ] = true ; },To add address into whitelist.
function changeBlockedTimeForInvestedTokens ( uint256 _blockedTime ) onlyOwner external { require ( _blockedTime < MIN_blockedTimeForInvestedTokens ) ; blockedTimeForInvestedTokens = _blockedTime ; },Called by owner for changing blockedTimeForInvestedTokens.
function totalBountyCount ( ) public view returns ( uint256 ) { return bountyCount_ ; },Number of tokens minted for bounty campaign.
"function calculateCurrentPrice ( uint8 _horse , uint256 _carrots ) view returns ( uint256 ) { uint256 currTotal = 0 ; if ( ! isRoundOver ( ) ) { // Round is ongoing currTotal = rounds_ [ rID_ ] . carrots [ _horse ] ; } return currTotal . add ( _carrots ) . ethReceived ( _carrots ) ; }",Calculate price of buying carrots.
"function isPlayerOnBoard ( GoBoard storage board , address searchAddress ) view returns ( bool ) { return ( board . blackAddress == searchAddress || board . whiteAddress == searchAddress ) ; }",Check if a player is on board.
function isTrustedContract ( address _contractAddress ) public view returns ( bool ) { return trustedCurrencyContracts [ _contractAddress ] == 1 ; },Check if a currencyContract is trusted.
function transferPrimary ( address recipient ) public onlyPrimary { require ( recipient != address ( 0 ) ) ; _primary = recipient ; emit PrimaryTransferred ( _primary ) ; },Transfers contract to a new primary.
"function follow ( address _follower , uint256 _amount , address _oracle ) public returns ( bool ) { require ( isActive ) ; require ( msg . sender == InvestContractAddress ) ; investBalances [ _follower ] = investBalances [ _follower ] . add ( _amount ) ; require ( minMarginDeposit <= investBalances [ _follower ] && investBalances [ _follower ] <= maxMarginDeposit ) ; if ( startTime [ _follower ] == 0 ) { startTime [ _follower ] = now ; oracle [ _follower ] = _oracle ; } return true ; }",Increase the invest balance of the specified follower.
function isContract ( address addr ) internal view returns ( bool ) { uint length ; assembly { length := extcodesize ( addr ) } return length > 0 ; },Check addr if is contract.
