token_seq,target_comment
"function ethRec ( uint256 _curKeys , uint256 _sellKeys ) internal pure returns ( uint256 ) { return ( eth ( _sellKeys . add ( _curKeys ) ) . sub ( eth ( _curKeys ) ) ) ; }",Calculates amount of eth received if you sold X keys.
"function marketSellOrders ( LibOrder . Order [ ] memory orders , uint256 takerAssetFillAmount , bytes [ ] memory signatures ) public nonReentrant returns ( FillResults memory totalFillResults ) { bytes memory takerAssetData = orders [ 0 ] . takerAssetData ; uint256 ordersLength = orders . length ; for ( uint256 i = 0 ; i != ordersLength ; i ++ ) { // We assume that asset being sold by taker is the same for each order. // Rather than passing this in as calldata, we use the takerAssetData from the first order in all later orders. orders [ i ] . takerAssetData = takerAssetData ; // Calculate the remaining amount of takerAsset to sell uint256 remainingTakerAssetFillAmount = safeSub ( takerAssetFillAmount , totalFillResults . takerAssetFilledAmount ) ; // Attempt to sell the remaining amount of takerAsset FillResults memory singleFillResults = fillOrderInternal ( orders [ i ] , remainingTakerAssetFillAmount , signatures [ i ] ) ; // Update amounts filled and fees paid by maker and taker addFillResults ( totalFillResults , singleFillResults ) ; // Stop execution if the entire amount of takerAsset has been sold if ( totalFillResults . takerAssetFilledAmount >= takerAssetFillAmount ) { break ; } } return totalFillResults ; }",Synchronously executes multiple calls of fillOrder until total amount of takerAsset is sold by taker.
"function transfer ( address _tokenAddress , address _to , uint256 _amount ) external { address user = msg . sender ; require ( balances [ _tokenAddress ] [ user ] >= _amount , ""Not enough funds to transfer."" ) ; balances [ _tokenAddress ] [ user ] = balances [ _tokenAddress ] [ user ] . sub ( _amount ) ; balances [ _tokenAddress ] [ _to ] = balances [ _tokenAddress ] [ _to ] . add ( _amount ) ; }",Allows user to transfer specific Token inside the exchange.
function getBalance ( ) constant public returns ( uint ) { return we_token . balanceOf ( this ) ; },Get current balance of the contract.
"function unlockVestedTokens ( ) external { Grant storage grant = grants [ msg . sender ] ; // Make sure the grant has tokens available. require ( grant . value != 0 ) ; // Get the total amount of vested tokens, acccording to grant. uint256 vested = calculateVestedTokens ( grant , now ) ; if ( vested == 0 ) { return ; } // Make sure the holder doesn't transfer more than what he already has. uint256 transferable = vested . sub ( grant . transferred ) ; if ( transferable == 0 ) { return ; } // Update transferred and total vesting amount, then transfer remaining vested funds to holder. grant . transferred = grant . transferred . add ( transferable ) ; totalVesting = totalVesting . sub ( transferable ) ; kin . transfer ( msg . sender , transferable ) ; TokensUnlocked ( msg . sender , transferable ) ; }",Unlock vested tokens and transfer them to the grantee.
"function createPoll ( bytes _ipfsHash , uint16 _numOptions , uint256 _startTime , uint256 _endTime ) public returns ( address ) { Poll newPoll = new Poll ( _ipfsHash , _numOptions , _startTime , _endTime , msg . sender ) ; polls . push ( newPoll ) ; PollCreated ( address ( newPoll ) , msg . sender ) ; return address ( newPoll ) ; }",Create a poll and store the address of the poll in this contract.
function godSetBlindAuctionsContract ( address _blindAuctionsContract ) public onlyGod { blindAuctionsContract = _blindAuctionsContract ; },God can set a new blind auctions contract.
"function transferAnyTokens ( address _tokenAddress , uint _amount ) public returns ( bool success ) { return ERC20 ( _tokenAddress ) . transfer ( this . owner ( ) , _amount ) ; }",Allows to transfer out any accidentally sent ERC20 tokens.
function isMinter ( address account ) public view returns ( bool ) { return minters [ account ] ; },Checks if account is a minter.
"function transferTokens ( address _to , uint256 _amount ) public onlyOwner { require ( ! hasEnded ( ) ) ; require ( _to != address ( 0 ) ) ; require ( _amount != 0 ) ; require ( token . balanceOf ( vault ) >= _amount ) ; token . transferFrom ( vault , _to , _amount ) ; }",This method is allowed to transfer tokens to _to account.
